ts_code,trade_date,vol,price,amount,pre_close,turnover_rate,volume_ratio,float_share
127059.SZ,20260820,90.0,130.3,11727.0,130.4,,,
127056.SZ,20260820,40.0,129.449,5177.96,129.325,,,
127055.SZ,20260820,630.0,187.894,118373.22,187.8,,,
127054.SZ,20260820,60.0,124.67,7480.2,124.798,,,
127053.SZ,20260820,760.0,181.0,137560.0,180.719,,,
127050.SZ,20260820,150.0,130.024,19503.6,130.024,,,
127049.SZ,20260820,100.0,114.005,11400.5,114.187,,,
127047.SZ,20260820,220.0,136.999,30139.78,136.851,,,
127046.SZ,20260820,60.0,129.81,7788.6,129.938,,,
127045.SZ,20260820,140.0,117.2,16408.0,117.119,,,
127044.SZ,20260820,70.0,116.476,8153.32,116.455,,,
127040.SZ,20260820,260.0,122.099,31745.74,122.099,,,
127038.SZ,20260820,1060.0,122.999,130378.94,122.8,,,
127037.SZ,20260820,340.0,539.0,183260.0,537.0,,,
127034.SZ,20260820,200.0,124.0,24800.0,123.768,,,
127033.SZ,20260820,0.0,,0.0,89.726,,,
127031.SZ,20260820,0.0,,0.0,120.064,,,
127030.SZ,20260820,330.0,118.7,39171.0,118.505,,,
127027.SZ,20260820,10.0,111.496,1114.96,111.411,,,
127025.SZ,20260820,40.0,105.611,4224.44,105.62,,,
123280.SZ,20260820,191914.0,174.99,33583030.86,157.3,,,
123237.SZ,20260820,160.0,135.52,21683.2,135.66,,,
123229.SZ,20260820,170.0,130.094,22115.98,129.875,,,
159108.SZ,20260820,0.0,,0.0,0.96,,0.0,
123165.SZ,20260820,290.0,131.74,38204.6,131.25,,,
123158.SZ,20260820,830.0,237.0,196710.0,235.98,,,
123157.SZ,20260820,1850.0,136.982,253416.7,136.914,,,
123155.SZ,20260820,60.0,130.87,7852.2,131.006,,,
123154.SZ,20260820,20.0,126.465,2529.3,126.229,,,
123151.SZ,20260820,490.0,119.299,58456.51,119.385,,,
123150.SZ,20260820,0.0,,0.0,133.696,,,
123149.SZ,20260820,40.0,131.899,5275.96,131.6,,,
123144.SZ,20260820,0.0,,0.0,130.068,,,
123142.SZ,20260820,210.0,123.35,25903.5,123.1,,,
123138.SZ,20260820,400.0,128.341,51336.4,128.117,,,
123133.SZ,20260820,110.0,129.362,14229.82,129.186,,,
123131.SZ,20260820,3480.0,291.8,1015464.0,290.058,,,
123124.SZ,20260820,780.0,141.5,110370.0,140.7,,,
123122.SZ,20260820,1370.0,129.2,177004.0,128.498,,,
123119.SZ,20260820,41520.0,126.96,5271379.2,124.62,,,
123118.SZ,20260820,2290.0,928.0,2125120.0,930.0,,,
123117.SZ,20260820,20.0,113.538,2270.76,113.535,,,
123114.SZ,20260820,400.0,126.852,50740.8,126.789,,,
123113.SZ,20260820,0.0,,0.0,114.67,,,
123112.SZ,20260820,830.0,135.9,112797.0,135.766,,,
123109.SZ,20260820,130.0,123.8,16094.0,123.847,,,
123107.SZ,20260820,170.0,112.69,19157.3,112.799,,,
123104.SZ,20260820,790.0,128.9,101831.0,128.5,,,
123092.SZ,20260820,40.0,119.376,4775.04,119.15,,,
123091.SZ,20260820,2030.0,136.0,276080.0,135.815,,,
123090.SZ,20260820,1040.0,111.55,116012.0,111.52,,,
123088.SZ,20260820,70.0,116.288,8140.16,116.35,,,
123160.SZ,20260820,540.0,157.858,85243.32,157.323,,,
123168.SZ,20260820,90.0,127.064,11435.76,127.189,,,
123225.SZ,20260820,290.0,139.499,40454.71,139.499,,,
123171.SZ,20260820,570.0,133.0,75810.0,132.37,,,
123224.SZ,20260820,100.0,132.75,13275.0,132.883,,,
123223.SZ,20260820,1880.0,139.2,261696.0,138.15,,,
123222.SZ,20260820,100.0,150.138,15013.8,150.098,,,
123220.SZ,20260820,170.0,131.279,22317.43,131.113,,,
123216.SZ,20260820,60.0,123.588,7415.28,123.354,,,
123215.SZ,20260820,10.0,123.512,1235.12,123.371,,,
123214.SZ,20260820,230.0,128.796,29623.08,128.815,,,
123213.SZ,20260820,4140.0,307.309,1272259.26,301.499,,,
123211.SZ,20260820,610.0,154.4,94184.0,153.68,,,
123209.SZ,20260820,110.0,162.03,17823.3,162.19,,,
123207.SZ,20260820,840.0,229.131,192470.04,227.9,,,
123199.SZ,20260820,1660.0,145.0,240700.0,144.5,,,
123196.SZ,20260820,80.0,125.37,10029.6,125.5,,,
123195.SZ,20260820,980.0,178.16,174596.8,174.67,,,
123194.SZ,20260820,3030.0,142.523,431844.69,140.407,,,
123193.SZ,20260820,30.0,127.8,3834.0,127.8,,,
123192.SZ,20260820,0.0,,0.0,124.555,,,
123189.SZ,20260820,710.0,142.0,100820.0,142.519,,,
123187.SZ,20260820,70.0,182.061,12744.27,182.19,,,
123183.SZ,20260820,20.0,129.909,2598.18,129.867,,,
123180.SZ,20260820,110.0,127.37,14010.7,127.499,,,
123179.SZ,20260820,80.0,121.4,9712.0,121.455,,,
123178.SZ,20260820,540.0,143.704,77600.16,142.0,,,
123176.SZ,20260820,3110.0,462.0,1436820.0,455.104,,,
123175.SZ,20260820,50.0,116.951,5847.55,116.922,,,
123173.SZ,20260820,220.0,137.0,30140.0,136.974,,,
123172.SZ,20260820,510.0,130.545,66577.95,130.402,,,
127069.SZ,20260820,100.0,128.787,12878.7,128.787,,,
127070.SZ,20260820,1070.0,335.999,359518.93,333.17,,,
127072.SZ,20260820,70.0,134.557,9418.99,134.557,,,
159065.SZ,20260820,0.0,,0.0,0.922,,0.0,
159062.SZ,20260820,67400.0,0.859,57896.6,0.832,,0.565019,
159061.SZ,20260820,0.0,,0.0,0.914,,0.0,
159060.SZ,20260820,50800.0,1.004,51003.2,1.024,,0.441467,
159059.SZ,20260820,41902.0,1.01,42321.02,1.009,,0.501031,
159058.SZ,20260820,0.0,,0.0,0.967,,0.0,
159057.SZ,20260820,0.0,,0.0,0.996,,0.0,
159056.SZ,20260820,0.0,,0.0,1.01,,0.0,
159055.SZ,20260820,500.0,0.934,467.0,0.919,,0.00496821,
159053.SZ,20260820,23200.0,0.92,21344.0,0.908,,0.129655,
159052.SZ,20260820,100.0,0.849,84.9,0.848,,0.00196616,
159051.SZ,20260820,0.0,,0.0,1.013,,0.0,
159050.SZ,20260820,169900.0,0.86,146114.0,0.855,,0.342775,
159049.SZ,20260820,60700.0,1.03,62521.0,1.007,,0.775534,
159048.SZ,20260820,248500.0,0.862,214207.0,0.861,,1.00012,
159046.SZ,20260820,0.0,,0.0,0.902,,0.0,
159045.SZ,20260820,10000.0,0.821,8210.0,0.811,,0.103454,
159042.SZ,20260820,0.0,,0.0,0.998,,0.0,
159041.SZ,20260820,0.0,,0.0,1.008,,0.0,
159040.SZ,20260820,0.0,,0.0,1.115,,0.0,
159039.SZ,20260820,343500.0,0.838,287853.0,0.839,,0.526547,
159038.SZ,20260820,985700.0,0.901,888115.7,0.94,,2.48206,
159037.SZ,20260820,0.0,,0.0,0.997,,0.0,
159036.SZ,20260820,0.0,,0.0,0.92,,0.0,
159035.SZ,20260820,0.0,,0.0,0.824,,0.0,
159033.SZ,20260820,73200.0,0.976,71443.2,0.995,,0.191664,
159032.SZ,20260820,49600.0,0.904,44838.4,0.885,,0.264375,
159031.SZ,20260820,130800.0,0.936,122428.8,0.975,,1.21949,
159063.SZ,20260820,739100.0,1.005,742795.5,1.043,,4.22853,
159066.SZ,20260820,200.0,0.914,182.8,0.907,,0.00264411,
127078.SZ,20260820,510.0,150.501,76755.51,150.501,,,
159067.SZ,20260820,0.0,,0.0,1.004,,0.0,
159107.SZ,20260820,318100.0,0.742,236030.2,0.736,,0.267387,
159106.SZ,20260820,0.0,,0.0,1.053,,0.0,
159105.SZ,20260820,810300.0,0.969,785180.7,0.934,,0.551408,
159103.SZ,20260820,5000.0,0.637,3185.0,0.637,,0.0463542,
159102.SZ,20260820,1289700.0,0.849,1094955.3,0.822,,2.11564,
159101.SZ,20260820,756600.0,0.769,581825.4,0.757,,0.40393,
159100.SZ,20260820,1406600.0,1.047,1472710.2,1.037,,4.57471,
