ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
301110.SZ,20260820,35.07,2.2247,3.1439,0.54,36.9241,29.2835,2.9485,3.2112,3.0622,0.8147,0.8147,12954.9,9111.85,6447.61,454330.0,319553.0,
688750.SH,20260820,13.91,0.9692,1.3974,0.76,108.538,108.11,2.6003,10.4764,10.1406,0.6039,0.1653,46250.0,23291.8,16155.2,643338.0,323989.0,
688528.SH,20260820,9.8,1.0933,3.2441,1.08,,,3.6992,6.0976,5.9695,,,16800.0,16800.0,5661.9,164640.0,164640.0,
300945.SZ,20260820,12.36,5.9155,10.1482,1.22,28.2713,25.1706,1.8672,1.1827,1.2317,1.6181,1.3754,26207.2,23870.4,13914.4,323920.0,295038.0,
002840.SZ,20260820,8.3,2.705,4.6824,0.75,,,1.8514,0.8248,0.8473,,,80216.6,79662.8,46021.1,665798.0,661201.0,
688131.SH,20260820,100.09,4.045,5.9423,1.23,88.9991,87.0193,6.8506,7.4186,7.1156,0.2277,0.2294,21323.4,21323.4,14515.1,2134260.0,2134260.0,
688295.SH,20260820,38.47,0.5502,2.9539,0.78,359.966,201.452,7.2855,15.7827,14.6779,,0.0858,90000.0,90000.0,16762.3,3462300.0,3462300.0,
601956.SH,20260820,4.95,0.626,1.1848,0.77,40.4884,220.465,1.2483,0.5013,0.4863,2.0207,1.9919,62161.7,62161.7,32842.7,307700.0,307700.0,
603960.SH,20260820,15.86,1.6831,2.7029,0.93,150.765,196.219,3.6936,8.3575,8.4992,0.3601,0.2018,26219.8,26219.8,16327.4,415846.0,415846.0,
300501.SZ,20260820,10.1,1.2467,1.2467,1.2,,,2.0191,2.543,2.4767,3.1123,5.2354,27818.3,27722.3,27722.3,280965.0,279995.0,
002970.SZ,20260820,49.7,1.8976,2.9023,0.64,23.8882,28.092,4.278,3.6906,3.6276,2.1498,1.989,18393.1,12638.6,8263.36,914137.0,628141.0,
603505.SH,20260820,15.39,0.9124,2.0138,0.67,39.7629,40.4592,6.8301,3.332,3.2805,0.6852,0.7777,84166.9,84166.9,38132.3,1295330.0,1295330.0,
002825.SZ,20260820,9.03,1.2903,1.9953,0.72,21.909,43.0715,1.9633,1.5587,1.3997,1.3093,1.3178,34194.1,25662.7,16595.9,308772.0,231734.0,
603409.SH,20260820,17.89,2.9897,2.9897,0.52,22.7927,21.0059,2.1645,2.7199,2.597,1.8758,1.1254,18777.8,5387.8,5387.8,335935.0,96387.7,
920719.BJ,20260820,7.36,3.1472,3.4169,2.12,,,10.3211,3.3626,3.8807,,,9309.34,7434.27,6847.47,68516.7,54716.2,
300902.SZ,20260820,16.1,2.9248,4.4527,0.54,,,3.6088,9.3008,10.1627,,,18180.3,12479.5,8197.23,292703.0,200921.0,
920056.BJ,20260820,16.08,1.0522,1.0522,0.72,23.8711,22.667,2.3845,2.198,2.1937,,0.9142,8169.17,3084.39,3084.39,131360.0,49597.0,
000703.SZ,20260820,20.1,4.5918,10.1982,1.88,297.344,12.9466,2.5764,0.6766,0.6151,0.2148,0.2239,382156.0,380239.0,171206.0,7681340.0,7642800.0,
600790.SH,20260820,3.38,0.7557,1.2544,1.15,,16.3261,0.8329,5.6458,5.5921,3.289,3.289,146579.0,146579.0,88311.2,495437.0,495437.0,
920374.BJ,20260820,14.51,1.961,2.26,1.5,80.3354,91.7919,4.7162,5.0565,5.0282,0.7145,0.5907,8559.39,3492.49,3030.43,124197.0,50676.0,
300576.SZ,20260820,30.82,5.7288,6.8915,0.6,105.32,112.73,7.1474,11.6406,11.3311,0.2205,0.2061,40368.8,25408.1,21121.6,1244170.0,783077.0,
000900.SZ,20260820,3.67,0.8098,1.5153,1.56,13.7698,14.1228,0.498,0.9388,0.843,4.0872,4.3597,151783.0,151774.0,81115.9,557043.0,557010.0,
002031.SZ,20260820,5.12,9.2336,10.3915,0.63,,,5.8022,14.2882,15.7913,,,219940.0,191362.0,170038.0,1126090.0,979774.0,
601000.SH,20260820,4.61,0.6203,1.4388,1.0,13.6705,13.0847,1.2463,4.8064,4.5823,4.3384,4.3384,592593.0,592593.0,255465.0,2731850.0,2731850.0,
300032.SZ,20260820,3.71,1.9125,2.2901,1.02,444.01,,4.6032,1.8855,2.0029,,,80317.0,80317.0,67074.3,297976.0,297976.0,
603193.SH,20260820,21.36,4.1405,4.2415,1.74,27.4788,26.7608,3.801,5.5944,5.498,2.0131,2.1536,40459.3,10333.6,10087.6,864211.0,220726.0,
002942.SZ,20260820,15.84,1.5235,4.4713,1.16,25.8138,24.6783,1.9306,2.2223,2.1454,1.8985,2.5253,15548.1,13875.8,4727.87,246281.0,219793.0,
000631.SZ,20260820,2.93,0.5032,1.7586,0.79,114.265,145.51,1.2231,13.671,14.6933,,0.5119,230000.0,230000.0,65816.8,673900.0,673900.0,
603978.SH,20260820,18.5,3.1651,4.995,0.89,,,2.3545,1.196,1.14,,,21109.4,21109.4,13376.0,390524.0,390524.0,
300532.SZ,20260820,6.91,1.028,1.5295,0.87,18.6793,20.2423,2.3818,1.8607,1.9292,3.0963,4.1316,63564.0,60458.2,40632.7,439227.0,417766.0,
001208.SZ,20260820,13.46,8.9663,9.0866,1.43,77.9727,79.2069,2.9215,1.9064,1.8223,0.3856,0.4829,63835.0,31873.4,31451.6,859220.0,429016.0,
605123.SH,20260820,75.08,2.2743,5.2272,1.15,36.0477,34.7988,1.9524,2.5678,2.3821,1.0096,1.0389,12117.1,12117.1,5272.09,909751.0,909751.0,
301363.SZ,20260820,17.0,3.7431,8.2116,1.07,47.8006,46.1662,3.6646,8.3245,7.9322,0.6353,1.1748,79596.7,52203.0,23795.7,1353140.0,887452.0,
