ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
300510.SZ,20260819,3.3,2.0863,2.835,0.89,,,1.4194,2.5432,2.883,,,82469.07,82469.07,60689.4985,272147.931,272147.931
301096.SZ,20260819,48.77,2.5963,3.0336,0.56,,,2.1293,7.8572,7.5059,,,10922.8284,8308.9966,7111.2541,532706.4191,405229.93
002865.SZ,20260819,42.28,9.0112,12.7323,2.45,,,3.2666,1.7254,1.7673,,,31126.6052,22352.8358,15820.073,1316032.8679,945077.8976
603200.SH,20260819,35.09,1.7579,3.5902,0.83,68.4458,75.0979,5.5993,12.2454,12.0321,0.2565,0.0855,17548.0103,17548.0103,8592.3487,615759.6709,615759.6709
688545.SH,20260819,85.26,11.0758,12.5494,1.31,148.4091,136.1021,10.3345,20.8095,17.3515,0.2346,0.3519,36000.0,18225.0,16085.0,3069360.0,1553863.5
002401.SZ,20260819,11.85,0.8596,1.6857,1.04,135.344,124.6359,2.6512,2.4392,2.5496,1.097,0.2363,37166.844,37134.953,18936.513,440427.054,440049.1575
002518.SZ,20260819,32.8,2.0742,4.9827,0.85,31.261,29.9102,3.838,3.6235,3.4303,0.7012,1.372,58222.5094,56513.6453,23526.0599,1909698.328,1853647.72
001393.SZ,20260819,41.86,6.9906,6.9906,1.39,34.6545,35.0146,2.8193,3.3386,3.0773,,,24933.3334,4804.0181,4804.0181,1043709.6124,201096.2772
002942.SZ,20260819,15.65,1.6241,4.7666,1.47,25.5042,24.3823,1.9074,2.1956,2.1197,1.9216,2.5559,15548.072,13875.8083,4727.8708,243327.2955,217156.4265
601615.SH,20260819,10.78,2.6373,3.4216,0.99,36.9448,63.7405,0.9242,0.64,0.6242,2.6824,1.6392,226149.6706,226149.6706,174308.7771,2437893.4426,2437893.4426
